Ano,Mes,IPCA_s_0.0,IPCA_pred_s_0.0,Erro_s__s_0.0,IPCA_s_0.05,IPCA_pred_s_0.05,Erro_s__s_0.05,IPCA_s_0.1,IPCA_pred_s_0.1,Erro_s__s_0.1,IPCA_s_0.15,IPCA_pred_s_0.15,Erro_s__s_0.15,IPCA_s_0.2,IPCA_pred_s_0.2,Erro_s__s_0.2,IPCA_s_0.25,IPCA_pred_s_0.25,Erro_s__s_0.25
2020,5,-0.38,0.4170900922254263,0.020287298581657186,0.3375786024537924,0.3017301194669573,0.006785807012800424,0.4219142775654015,0.18372466162316411,0.07951498037075988,0.39833359229593407,0.29684308111317903,0.019059337393459604,0.33471323375238615,0.3068523622899656,0.01710756490085779,0.32695757845459816,0.3730749254963315,0.0357808364578992
2020,6,0.26,0.4360423929848878,0.11083422031382137,0.3826583377722493,0.3048072679348736,0.006523422685107541,0.4330376064603106,0.15153601502174407,0.03594884475149567,0.4030881090884679,0.30819609468593967,0.016316687419921976,0.33353395793321006,0.3219304795072841,0.013950616609094038,0.3242739650935299,0.35453107911964626,0.010740931008389838
2020,7,0.36,0.45253874826007584,0.042746741190029976,0.42238953153281106,0.3121194133357671,0.008654452546889988,0.44431471136775297,0.1890157589056508,0.021342947473854314,0.4079136077873922,0.2800622063922308,0.015165282579153934,0.3324284944667223,0.4624221817836059,0.018242463980036015,0.3216156222860269,0.37572259334717295,0.002533343184169298
2020,8,0.24,0.34922230042184876,0.05358921897681046,0.46093136212945407,0.3230277492789437,0.015665369793270507,0.4557981113873009,0.34116770345131386,0.10811900848786118,0.41282133550412814,0.6699174301057013,0.010042861523857267,0.33140075717370443,0.46627830370865625,0.026263378317858768,0.3189850115818375,0.4164690818513831,0.006633154022133514
2020,9,0.64,0.35835519167984603,0.09543345298059595,0.5002161514378997,0.3120988754966169,0.01904653120861923,0.4675375892082882,0.33854742449574937,0.10932166546073936,0.41782253847447287,0.663838439220725,0.020443969541847573,0.3304545433770318,0.5094113917589624,0.02150329692572714,0.3163845241196738,0.45625493774668424,0.005687003651259388
2020,10,0.86,0.35139087003862973,0.11279032661784462,0.541123900790587,0.4449078894724032,0.039240088409908266,0.4795808470864594,0.40142532524981334,0.11186504880734757,0.4229284686642436,0.5938818676730059,0.020434328659320766,0.3295935342507638,0.5868880050952711,0.010673683847146644,0.3138164787314106,0.49855721959237087,0.006664890558546271
2020,11,0.89,0.34054954336582377,0.11503969581187143,0.5839272062573682,0.47563493835510084,0.016140276426294894,0.49196575307620866,0.7571989517384925,0.08678420582107968,0.4281486663215015,0.613718851461188,0.01088133896781861,0.3288207424892898,0.6110608752824602,0.0019420012085046934,0.31128289245785734,0.537130909165268,0.012284403092527428
2020,12,1.35,0.4305612302281593,0.0458526138065872,0.628506936379838,0.45695595473183986,0.042415068064968635,0.5047153360994842,0.5372973787494001,0.050031664339462746,0.4334897851739693,0.6466727803311033,0.004722909871955888,0.32813814339663283,0.6531166464177267,0.007479192260945729,0.3087853261100171,0.5859502123661667,0.013189239821273437
2021,1,0.25,0.5922667233363111,0.046396010931323076,0.674487050560508,0.5113057499411413,0.018188164307197,0.5178363567497856,0.6257171729794091,0.07285170920366453,0.43895518383145965,0.6923111763830122,0.00881859004131917,0.32754655937640836,0.7056445987714903,0.01607247652632065,0.3063248336421183,0.622665140727141,0.013598373313326376
2021,2,0.86,0.5954986591468499,0.07311301386097795,0.7213298089629318,0.6182956185151052,0.036708163525132724,0.5313204824271107,0.7053022548797193,0.08091911469973062,0.4445451061558206,0.7400999479883176,0.01300818499746177,0.32704575309483686,0.7460010139965482,0.008029750417492282,0.3039019953004268,0.6721847241605331,0.00924437526975686
2021,3,0.93,0.588118263789268,0.035920456035236845,0.7686342433867863,0.589146006543718,0.03294053278866778,0.545159704957206,0.7515569876980733,0.045118004368231546,0.45025946582603543,0.7871930080149336,0.014895271095425775,0.32663520129239204,0.78249104110767,0.021579477752213153,0.30151722928984986,0.7232665715717279,0.01839235642696795
2021,4,0.31,0.6167723436808156,0.09546820808983146,0.8160095221425587,0.611030076447154,0.025640296637286075,0.5593372599750994,0.7273124860423194,0.012189007006110888,0.4560959786477967,0.8334928144509536,0.020693142042267968,0.32631350764098177,0.7613278670554235,0.017632128529368095,0.2991705544459207,0.7676542373170155,0.011734819140100198
